name,position,team_x
Reinildo Mandava,DEF,Sunderland
Lorenzo Lucca,FWD,Nott'm Forest
Lewis Dobbin,MID,Aston Villa
Ryan Christie,MID,Bournemouth
Leo Shahar,DEF,Newcastle
Zeki Amdouni,FWD,Burnley
Lucas Tolentino Coelho de Lima,MID,West Ham
Jorrel Hato,DEF,Chelsea
Myles Peart-Harris,MID,Brentford
Bashir Humphreys,DEF,Burnley
Romain Faivre,MID,Bournemouth
Enock Agyei,MID,Burnley
Callum Bates,MID,Everton
Harry Tyrer,GK,Everton
Etienne Green,GK,Burnley
Destiny Udogie,DEF,Spurs
Simon Moore,GK,Sunderland
Ben Winterburn,MID,Bournemouth
Mikey Moore,MID,Spurs
Pape Matar Sarr,MID,Spurs
Hákon Rafn Valdimarsson,GK,Brentford
Toby Collyer,MID,Man Utd
Marcos Senesi Barón,DEF,Bournemouth
Adam Armstrong,FWD,Wolves
Tyler Morton,MID,Liverpool
Alexis Mac Allister,MID,Liverpool
André Trindade da Costa Neto,MID,Wolves
Harrison Ashby,DEF,Newcastle
Samuel Amissah,DEF,Fulham
Luís Hemir Silva Semedo,FWD,Sunderland
Adama Traoré Diarra,MID,West Ham
Yasin Ayari,MID,Brighton
Mateo Kovačić,MID,Man City
Thierno Barry,FWD,Everton
Ollie Scarles,DEF,West Ham
Rico Lewis,DEF,Man City
Brenden Aaronson,MID,Leeds
Eliezer Mayenda Dossou,FWD,Sunderland
Seth Ridgeon,MID,Fulham
Steven Benda,GK,Fulham
Myles Lewis-Skelly,DEF,Arsenal
Hugo Bueno López,DEF,Wolves
Milan Aleksić,MID,Sunderland
Toti Gomes,DEF,Wolves
Ismaïla Sarr,MID,Crystal Palace
Abdukodir Khusanov,DEF,Man City
André Onana,GK,Man Utd
Rio Cardines,MID,Crystal Palace
Alejandro Garnacho Ferreyra,MID,Chelsea
Tammy Abraham,FWD,Aston Villa
Dan Neil,MID,Sunderland
Kiernan Dewsbury-Hall,MID,Everton
Kieran Trippier,DEF,Newcastle
João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,MID,Spurs
Tino Livramento,DEF,Newcastle
Issa Diop,DEF,Fulham
Rasmus Højlund,FWD,Man Utd
Dane Scarlett,FWD,Spurs
Ezri Konsa Ngoyo,DEF,Aston Villa
Caleb Kporha,DEF,Crystal Palace
Leon Routh,DEF,Aston Villa
Archie Gray,MID,Spurs
Noah Sadiki,MID,Sunderland
Sávio Moreira de Oliveira,MID,Man City
Nathan Collins,DEF,Brentford
Manuel Ugarte Ribeiro,MID,Man Utd
Lewis Hall,DEF,Newcastle
Wesley Fofana,DEF,Chelsea
Martial Godo,MID,Fulham
Leo Fuhr Hjelde,DEF,Sunderland
Krisztián Hegyi,GK,West Ham
Will Hughes,MID,Crystal Palace
Jadon Sancho,MID,Aston Villa
Amine Adli,MID,Bournemouth
Micky van de Ven,DEF,Spurs
Konstantinos Mavropanos,DEF,West Ham
Emmanuel Agbadou,DEF,Wolves
Oscar Bobb,MID,Fulham
Oluwaseun Adewumi,MID,Burnley
Jordan Henderson,MID,Brentford
Harry Wilson,MID,Fulham
Charlie Stevens,MID,Bournemouth
Malick Thiaw,DEF,Newcastle
Emerson Palmieri dos Santos,DEF,West Ham
Godwill Kukonki,DEF,Man Utd
Trey Nyoni,MID,Liverpool
Nilson Angulo,MID,Sunderland
Angel Gomes,MID,Wolves
Saheed Olagunju,DEF,Wolves
Ladislav Krejcí,DEF,Wolves
Malo Gusto,DEF,Chelsea
Jérémy Doku,MID,Man City
Triston Rowe,DEF,Aston Villa
Luis Guilherme Lira dos Santos,MID,West Ham
Sebastiaan Bornauw,DEF,Leeds
Kendry Páez Andrade,MID,Chelsea
Asher Agbinone,MID,Crystal Palace
Matz Sels,GK,Nott'm Forest
Álex Jiménez Sánchez,DEF,Bournemouth
Marko Stamenić,MID,Nott'm Forest
Nathan Fraser,FWD,Wolves
Evan Ferguson,FWD,Brighton
Idrissa Gana Gueye,MID,Everton
Justin Devenny,MID,Crystal Palace
Karl Darlow,GK,Leeds
Junior Kroupi,FWD,Bournemouth
Habib Diarra,MID,Sunderland
Luis Sinisterra Lucumí,MID,Bournemouth
Antonín Kinský,GK,Spurs
Jakub Kiwior,DEF,Arsenal
Fábio Soares Silva,FWD,Wolves
Đorđe Petrović,GK,Bournemouth
Kim Ji-soo,DEF,Brentford
Alphonse Areola,GK,West Ham
Gabriel dos Santos Magalhães,DEF,Arsenal
Jamaldeen Jimoh-Aloba,MID,Aston Villa
George Brierley,MID,Burnley
Armando Broja,FWD,Burnley
Benoît Badiashile Mukinayi,DEF,Chelsea
Reigan Heskey,MID,Man City
Divine Mukasa,MID,Man City
Aarón Anselmino,DEF,Chelsea
Jean-Ricner Bellegarde,MID,Wolves
Luke Harris,MID,Fulham
Ola Aina,DEF,Nott'm Forest
Dominik Szoboszlai,MID,Liverpool
Arnaud Kalimuendo,FWD,Nott'm Forest
Freddie Simmonds,DEF,Brighton
Marcus Bettinelli,GK,Man City
Tomáš Souček,MID,West Ham
Jack Grealish,MID,Everton
Ilia Gruev,MID,Leeds
Kadan Young,MID,Aston Villa
Endo Wataru,MID,Liverpool
Samuel Chukwueze,MID,Fulham
Oliver Pimlott,MID,Burnley
Mats Wieffer,MID,Brighton
İlkay Gündoğan,MID,Man City
Pedro Porro Sauceda,DEF,Spurs
Daichi Kamada,MID,Crystal Palace
Tyrique George,MID,Everton
Alysson Edward Franco da Rocha dos Santos,MID,Aston Villa
Andy Irving,MID,West Ham
Nick Pope,GK,Newcastle
Karl Hein,GK,Arsenal
Ki-Jana Hoever,DEF,Wolves
Fer López González,MID,Wolves
Daniel James,MID,Leeds
Christopher Nkunku,MID,Chelsea
Abdoullah Ba,MID,Sunderland
Mike Trésor Ndayishimiye,MID,Burnley
Matthew Cox,GK,Brentford
Darko Gyabi,MID,Leeds
Michael Obafemi,FWD,Burnley
Dwight McNeil,MID,Everton
Jacob Ramsey,MID,Newcastle
Veljko Milosavljevic,DEF,Bournemouth
Tom Edozie,MID,Wolves
Coby Ebere,MID,Everton
Diego Coppola,DEF,Brighton
Lukasz Fabianski,GK,West Ham
Amadou Onana,MID,Aston Villa
Giorgi Mamardashvili,GK,Liverpool
Leon Bailey,MID,Aston Villa
Federico Chiesa,MID,Liverpool
Ethan Sutherland,MID,Wolves
Ryan Sessegnon,MID,Fulham
John Stones,DEF,Man City
Isaac Heath,MID,Everton
Chris Rigg,MID,Sunderland
Luke O'Nien,DEF,Sunderland
Axel Tuanzebe,DEF,Burnley
Teddy Sharman-Lowe,GK,Chelsea
Séamus Coleman,DEF,Everton
Carlos Alcaraz Durán,MID,Everton
Jeremy Sarmiento Morante,MID,Brighton
Matt Turner,GK,Nott'm Forest
Djiamgone Jocelin Ta Bi,MID,Sunderland
Ethan Wheatley,FWD,Man Utd
Roman Dixon,DEF,Everton
Merlin Röhl,MID,Everton
Charlie Tasker,DEF,Brighton
Charlie Gray,MID,Man City
Yoane Wissa,FWD,Newcastle
